,name,books,world,groups,universe
2067,Valama,The Stormlight Archive,Roshar,NA,Cosmere
2068,Valda Mendez,Skyward (series),Detritus,NA,Cytoverse
2069,Valentine,Firefight,Earth (Reckoners),Reckoners,Independent
2070,Valette Entrone,Mistborn Era 2,Scadrial,NA,Cosmere
2071,Vandonas,The Stormlight Archive,Roshar,NA,Cosmere
2072,Vapor,Skyward (series),,Flowers of Night's Last Kiss Flight,Cytoverse
2073,Varala,The Stormlight Archive,Roshar,NA,Cosmere
2074,Varanis,The Stormlight Archive,Roshar,NA,Cosmere
2075,Varas,The Stormlight Archive,Roshar,NA,Cosmere
2076,VaraTreledees,Warbreaker,Nalthis,"Five Scholars,Denth's crew",Cosmere
2077,Vardinar,The Stormlight Archive,Roshar,Kholinar Wall Guard,Cosmere
2078,Varion Crestmar,Firstborn,,NA,Independent
2079,Varlance,Mistborn Era 2,Scadrial,NA,Cosmere
2080,Varnali,The Stormlight Archive,Roshar,Council of Five,Cosmere
2081,VarSell,Mistborn Era 1,Scadrial,NA,Cosmere
2082,Varth,The Stormlight Archive,Roshar,Amaram's army,Cosmere
2083,Vartian,The Stormlight Archive,Roshar,NA,Cosmere
2084,Vasher,"Warbreaker,The Stormlight Archive",Nalthis,Five Scholars,Cosmere
2085,Vathah,The Stormlight Archive,Roshar,"Knights Radiant,Lightweavers,Unseen Court,[1]",Cosmere
2086,Vathe,The Stormlight Archive,Roshar,NA,Cosmere
2087,Vathi,Sixth of the Dusk,First of the Sun,Northern Interests Trading Company,Cosmere
2088,Vatwha,The Stormlight Archive,Roshar,NA,Cosmere
2089,Vazrmeb,The Stormlight Archive,Roshar,NA,Cosmere
2090,Ved (Skyward),Skyward (series),,NA,Cytoverse
2091,Ved (Stormlight),The Stormlight Archive,Roshar,Kholinar Wall Guard,Cosmere
2092,Vedekar Perel,The Stormlight Archive,Roshar,Sebarial army,Cosmere
2093,Vedel,The Stormlight Archive,Roshar,NA,Cosmere
2094,Vedlew,Mistborn Era 1,Scadrial,NA,Cosmere
2095,Vedzan,Mistborn Era 1,Scadrial,NA,Cosmere
2096,Velalant,The Stormlight Archive,Roshar,NA,Cosmere
2097,Velat,The Stormlight Archive,Roshar,Kholin army,Cosmere
2098,Velinar,The Stormlight Archive,Roshar,NA,Cosmere
2099,Ven,The Stormlight Archive,Roshar,Amaram's army,Cosmere
2100,Venan,The Stormlight Archive,Roshar,NA,Cosmere
2101,VenDell,Mistborn Era 2,Scadrial,NA,Cosmere
2102,Venkohl,White Sand,Taldain,NA,Cosmere
2103,Venli,The Stormlight Archive,Roshar,NA,Cosmere
2104,Vennis Hasting,Mistborn Era 2,Scadrial,NA,Cosmere
2105,Vent (Scadrial),Mistborn Era 1,Scadrial,NA,Cosmere
2106,Vent (Skyward),Skyward (series),Detritus,NA,Cytoverse
2107,Veratorim,The Stormlight Archive,Roshar,NA,Cosmere
2108,Vershad,Mistborn Era 1,Scadrial,Venture army,Cosmere
2109,Human,Mistborn Era 1,Scadrial,Venture army,Cosmere
2110,Vespan,The Stormlight Archive,Roshar,NA,Cosmere
2111,Vet (Roshar),The Stormlight Archive,Roshar,"Bridge Eighteen,Kholin army",Cosmere
2112,Vet (Scadrial),Mistborn Era 1,Scadrial,Luthadel Assembly,Cosmere
2113,Vevanara,The Stormlight Archive,Roshar,NA,Cosmere
2114,Vevidar,The Stormlight Archive,Roshar,NA,Cosmere
2115,Vexil,The Stormlight Archive,Roshar,NA,Cosmere
2116,Vey,White Sand,Taldain,"Taishin,The Guild",Cosmere
2117,Vigor,Skyward (series),Detritus,NA,Cytoverse
2118,Vila Mecant,Mistborn Era 2,Scadrial,NA,Cosmere
2119,Vin,Mistborn Era 1,Scadrial,"Camon's crew,Kelsier's crew,Venture army",Cosmere
2120,Vin's mother,Mistborn Era 1,Scadrial,NA,Cosmere
2121,Vin's sister,Mistborn Era 1,Scadrial,NA,Cosmere
2122,Virginia,The Rithmatist,Earth (Rithmatist),NA,Independent
2123,Vishwadhar,Mistborn Era 2,,NA,Cosmere
2124,Vivenna,"Warbreaker,The Stormlight Archive",Nalthis,Kholinar Wall Guard,Cosmere
2125,Vivenna's Blade,The Stormlight Archive,Roshar,NA,Cosmere
2126,Vivenna's mother,Warbreaker,Nalthis,NA,Cosmere
2127,Vldgen,The Stormlight Archive,Roshar,NA,Cosmere
2128,Vlep,Skyward (series),,NA,Cytoverse
2129,Vlxim,The Stormlight Archive,Roshar,NA,Cosmere
2130,Vo,Warbreaker,Nalthis,NA,Cosmere
2131,Vod,The Stormlight Archive,Roshar,NA,Cosmere
2132,Voidsplitter,The Reckoners,Earth (Reckoners),NA,Independent
2133,Vono,The Stormlight Archive,Roshar,NA,Cosmere
2134,Vormel,Skyward (series),,NA,Cytoverse
2135,Vrandl,The Stormlight Archive,Roshar,Vriztl Guild,Cosmere
2136,Vratim,The Stormlight Archive,Roshar,"Knight Radiant,Windrunners",Cosmere
2137,Vstim,The Stormlight Archive,Roshar,NA,Cosmere
2138,Vwafendal,Mistborn Era 2,Scadrial,NA,Cosmere
2139,Waber,The Stormlight Archive,Roshar,NA,Cosmere
2140,Wade,The Reckoners,Earth (Reckoners),Reckoners,Independent
2141,Waffle,Skyward (series),Detritus,NA,Cytoverse
2142,Walin,Mistborn Era 1,Scadrial,NA,Cosmere
2143,Wan ShaiLu,"The Emperor's Soul,Mistborn Era 2",Sel,Ghostbloods,Cosmere
2144,Waren,Elantris,Sel,NA,Cosmere
2145,Warren,The Stormlight Archive,Roshar,"Knights Radiant,Skybreakers",Cosmere
2146,Waterlog,The Reckoners,Earth (Reckoners),NA,Independent
2147,Waxillium Ladrian,Mistborn Era 2,Scadrial,NA,Cosmere
2148,Wayne,Mistborn Era 2,Scadrial,NA,Cosmere
2149,Weatherlove,Warbreaker,Nalthis,NA,Cosmere
2150,Wednegon,Mistborn Era 1,Scadrial,NA,Cosmere
2151,Weedfingers,The Emperor's Soul,Sel,NA,Cosmere
2152,Wellen,Mistborn Era 1,Scadrial,"Ashweather Cett's,Venture army",Cosmere
2153,Wellid,Mistborn Era 2,Scadrial,Set,Cosmere
2154,Wells,Mistborn Era 2,Scadrial,NA,Cosmere
2155,Wema,The Stormlight Archive,Roshar,NA,Cosmere
2156,Wenda Smith,The Rithmatist,Earth (Rithmatist),NA,Independent
2157,Westweather Cett,Mistborn Era 2,Scadrial,NA,Cosmere
2158,Whiskers,Skyward (series),Detritus,NA,Cytoverse
2159,Wikim Davar,The Stormlight Archive,Roshar,NA,Cosmere
2160,Wilhelmette,Mistborn Era 2,Scadrial,NA,Cosmere
2161,William Ann Montane,Shadows for Silence,Threnody,NA,Cosmere
2162,William Montane,Shadows for Silence in the Forests of Hell,Threnody,NA,Cosmere
2163,William Muns,The Rithmatist,Earth (Rithmatist),NA,Independent
2164,Wilson,Legion,Earth (Legion),NA,Independent
2165,Winds,Sixth of the Dusk,First of the Sun,NA,Cosmere
2166,Wingflare,The Reckoners,Earth (Reckoners),NA,Independent
2167,Wink,Alcatraz Versus the Evil Librarians,Earth (Alcatraz),NA,Independent
2168,Winnow (Roshar),The Stormlight Archive,Roshar,NA,Cosmere
2169,Winnow (Skyward),Skyward (series),Detritus,DDF,Cytoverse
2170,Winsting Innate,Mistborn Era 2,Scadrial,NA,Cosmere
2171,Winter,Skyward,Detritus,NA,Cytoverse
2172,Wiper,The Reckoners,Earth (Reckoners),NA,Independent
2173,Wistiow,The Stormlight Archive,Roshar,NA,Cosmere
2174,Wmlak,The Stormlight Archive,Roshar,NA,Cosmere
2175,Wooden Soul,The Reckoners,Earth (Reckoners),NA,Independent
2176,Word of Deeds,The Stormlight Archive,Roshar,NA,Cosmere
2177,Wulfden the First,Elantris,Sel,NA,Cosmere
2178,Wulfden the Fourth,Elantris,Sel,NA,Cosmere
2179,Wvlan,The Stormlight Archive,Roshar,NA,Cosmere
2180,Wyndle,The Stormlight Archive,Roshar,NA,Cosmere
2181,Wyrn (character),Elantris,Sel,NA,Cosmere
2182,Wzmal,The Stormlight Archive,Roshar,NA,Cosmere
2183,Xavier,Legion,Earth (Legion),Aspect,Independent
2184,Xisis,,Unknown,NA,Cosmere
2185,Yaalani,Sixth of the Dusk,First of the Sun,NA,Cosmere
2186,Yake,The Stormlight Archive,Roshar,"Knights Radiant,Windrunner,Bridge Four,Sadeas army,Kholin army",Cosmere
2187,Yalb,The Stormlight Archive,Roshar,NA,Cosmere
2188,Yallard,The Rithmatist,Earth (Rithmatist),NA,Independent
2189,Yanagawn,The Stormlight Archive,Roshar,Huqin's crew,Cosmere
2190,Yancey Yaceczko,Mistborn Era 2,Scadrial,NA,Cosmere
2191,Yara,The Stormlight Archive,Roshar,NA,Cosmere
2192,Yarda,Warbreaker,Nalthis,NA,Cosmere
2193,Yazad,The Emperor's Soul,Sel,NA,Cosmere
2194,Yeden,Mistborn Era 1,Scadrial,"Kelsier's crew,Skaa rebellion",Cosmere
2195,Yelamaiszin,The Stormlight Archive,Roshar,NA,Cosmere
2196,Yelig-nar,The Stormlight Archive,Roshar,Unmade,Cosmere
2197,Yenev,The Stormlight Archive,Roshar,NA,Cosmere
2198,Yestal,Mistborn Era 1,Scadrial,NA,Cosmere
2199,Yesteel,Warbreaker,Nalthis,Five Scholars,Cosmere
2200,Yezriar,The Stormlight Archive,Roshar,NA,Cosmere
2201,Yil,The Emperor's Soul,Sel,NA,Cosmere
2202,Yis,The Stormlight Archive,Roshar,NA,Cosmere
2203,Yix,The Stormlight Archive,Roshar,NA,Cosmere
2204,Yixli,The Stormlight Archive,Roshar,NA,Cosmere
2205,Ym,The Stormlight Archive,Roshar,NA,Cosmere
2206,Yokska,The Stormlight Archive,Roshar,NA,Cosmere
2207,Yol Chay,Legion: Skin Deep,Earth (Legion),NA,Independent
2208,Yonatan,The Stormlight Archive,Roshar,NA,Cosmere
2209,Ytves,Mistborn Era 1,Scadrial,NA,Cosmere
2210,Yulip,Mistborn Era 2,Scadrial,NA,Cosmere
2211,Yunfah,The Stormlight Archive,Roshar,NA,Cosmere
2212,Yushah,The Stormlight Archive,Roshar,NA,Cosmere
2213,Yustara,The Stormlight Archive,Roshar,NA,Cosmere
2214,Zahel,"Warbreaker,The Stormlight Archive",Nalthis,Five Scholars,Cosmere
2215,Zandiel,The Stormlight Archive,Roshar,NA,Cosmere
2216,Zane Venture,Mistborn Era 1,Scadrial,NA,Cosmere
2217,Zedzil,The Stormlight Archive,Roshar,Skybreaker,Cosmere
2218,Zeen Nightshade,Skyward (series),Detritus,NA,Cytoverse
2219,Zeff,The Reckoners,Earth (Reckoners),Reckoners,Independent
2220,Zeheb,The Stormlight Archive,Roshar,NA,Cosmere
2221,Zellion,The Stormlight Archive,Roshar,NA,Cosmere
2222,Zen Rigby,Legion: Skin Deep,Earth (Legion),NA,Independent
2223,Zen-daughter-Vath,The Stormlight Archive,Roshar,NA,Cosmere
2224,Zendid,The Stormlight Archive,Roshar,NA,Cosmere
2225,Zentu,Skyward (series),,NA,Cytoverse
2226,Zetah,The Stormlight Archive,Roshar,NA,Cosmere
2227,Zezin,Skyward (series),,NA,Cytoverse
2228,Ziming,Skyward (series),Detritus,DDF,Cytoverse
2229,Zing,Skyward (series),Detritus,DDF,Cytoverse
2230,Zoba Moss,The Original,Earth (The Original),ICON,Independent
2231,Professor ZoBell,The Rithmatist,Earth (Rithmatist),NA,Independent
2232,Zoran Tanasin,Dark One,Earth (Dark One),NA,Independent
2233,Zu (Roshar),The Stormlight Archive,Roshar,"Knights Radiant,Stonewards",Cosmere
2234,Zu (Sel),The Emperor's Soul,Sel,NA,Cosmere
2235,Zuln,The Stormlight Archive,Roshar,Council of Five,Cosmere
2236,Zyardil,The Stormlight Archive,Roshar,NA,Cosmere
